Date,Site,Depth,d13CDIC,DIC
2006/11/01,S4,25,-21.6990948730108,209.790913352437
2006/11/01,S4,35,-23.0604176328293,434.725685515475
2006/11/01,S4,55,-25.6791161464017,2067.45398718875
2006/11/01,S4,65,-24.3990226466549,391.188624674888
2006/11/01,S12,5,-24.2492012521016,570.76518817277
2006/11/01,S12,10,-24.6038107511432,758.775716716362
2006/11/01,S12,30,-25.8366490610645,1142.70834311725
2006/11/01,S12,40,-25.36,990.671180020743
2006/11/01,S12,70,-24.21,1184.45906540384
2006/11/01,S22,12,-19.0431710297584,250.604472430153
2006/11/01,S22,20,-13.5310509889935,93.0868262759592
2006/11/01,S22,50,-17.4806304504518,207.843208882086
